Year,Year ending,Offence Division,Offence Subdivision,Offence Subgroup,Incidents Recorded,"Rate per 100,000 population"
2017,December,C Drug offences,C30 Drug use and possession,C32 Drug possession," 10,282 ", 162.6 
2017,December,C Drug offences,C90 Other drug offences,C99 Other drug offences, 35 , 0.6 
2017,December,D Public order and security offences,D10 Weapons and explosives offences,D11 Firearms offences," 1,944 ", 30.8 
2017,December,D Public order and security offences,D10 Weapons and explosives offences,D12 Prohibited and controlled weapons offences," 6,591 ", 104.3 
2017,December,D Public order and security offences,D10 Weapons and explosives offences,D13 Explosives offences, 173 , 2.7 
2017,December,D Public order and security offences,D20 Disorderly and offensive conduct,D21 Riot and affray, 383 , 6.1 
2017,December,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public," 8,063 ", 127.5 
2017,December,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct," 3,128 ", 49.5 
2017,December,D Public order and security offences,D20 Disorderly and offensive conduct,D24 Offensive language, 716 , 11.3 
2017,December,D Public order and security offences,D20 Disorderly and offensive conduct,D25 Criminal intent, 502 , 7.9 
2017,December,D Public order and security offences,D20 Disorderly and offensive conduct,D26 Disorderly conduct, 218 , 3.4 
2017,December,D Public order and security offences,D30 Public nuisance offences,D31 Privacy offences, 33 , 0.5 
2017,December,D Public order and security offences,D30 Public nuisance offences,D32 Hoaxes, 202 , 3.2 
2017,December,D Public order and security offences,D30 Public nuisance offences,D33 Begging, 150 , 2.4 
2017,December,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space," 1,445 ", 22.9 
2017,December,D Public order and security offences,D30 Public nuisance offences,D36 Other public nuisance offences, 114 , 1.8 
2017,December,D Public order and security offences,D40 Public security offences,D41 Immigration offences, 1 , 0.0 
2017,December,D Public order and security offences,D40 Public security offences,D43 Hacking, 29 , 0.5 
2017,December,D Public order and security offences,D40 Public security offences,D44 Terrorism offences, 17 , 0.3 
2017,December,D Public order and security offences,D40 Public security offences,D49 Other public security offences, 6 , 0.1 
2017,December,E Justice procedures offences,E10 Justice procedures,E11 Escape custody, 91 , 1.4 
2017,December,E Justice procedures offences,E10 Justice procedures,E13 Resist or hinder officer," 5,107 ", 80.8 
2017,December,E Justice procedures offences,E10 Justice procedures,E14 Pervert the course of justice or commit perjury, 555 , 8.8 
2017,December,E Justice procedures offences,E10 Justice procedures,E15 Prison regulation offences, 615 , 9.7 
2017,December,E Justice procedures offences,E10 Justice procedures,E19 Other justice procedures offences, 986 , 15.6 
2017,December,E Justice procedures offences,E20 Breaches of orders,E21 Breach family violence order," 18,628 ", 294.7 
2017,December,E Justice procedures offences,E20 Breaches of orders,E22 Breach intervention order," 2,142 ", 33.9 
2017,December,E Justice procedures offences,E20 Breaches of orders,E23 Breach bail conditions," 16,209 ", 256.4 
2017,December,E Justice procedures offences,E20 Breaches of orders,E29 Breach of other orders, 898 , 14.2 
2017,December,F Other offences,F10 Regulatory driving offences,F11 Drink driving, 2 , 0.0 
2017,December,F Other offences,F10 Regulatory driving offences,F15 Licensing offences, 2 , 0.0 
2017,December,F Other offences,F10 Regulatory driving offences,F19 Other regulatory driving offences, 3 , 0.0 
2017,December,F Other offences,F20 Transport regulation offences,F21 Public transport, 190 , 3.0 
2017,December,F Other offences,F20 Transport regulation offences,F22 Aviation regulations offences, 5 , 0.1 
2017,December,F Other offences,F20 Transport regulation offences,F23 Maritime regulations offences, 53 , 0.8 
2017,December,F Other offences,F20 Transport regulation offences,F24 Pedestrian offences, 12 , 0.2 
2017,December,F Other offences,F20 Transport regulation offences,F29 Other transport regulation offences, 57 , 0.9 
2017,December,F Other offences,F30 Other government regulatory offences,F31 Betting and gaming offences, 16 , 0.3 
2017,December,F Other offences,F30 Other government regulatory offences,F32 Commercial regulation offences, 49 , 0.8 
2017,December,F Other offences,F30 Other government regulatory offences,F33 Liquor and tobacco licensing offences, 76 , 1.2 
2017,December,F Other offences,F30 Other government regulatory offences,F34 Pornography and censorship offences, 23 , 0.4 
2017,December,F Other offences,F30 Other government regulatory offences,F36 Prostitution offences, 27 , 0.4 
2017,December,F Other offences,F30 Other government regulatory offences,F39 Other government regulatory offences, 26 , 0.4 
2017,December,F Other offences,F90 Miscellaneous offences,F91 Environmental offences, 37 , 0.6 
2017,December,F Other offences,F90 Miscellaneous offences,F92 Public health and safety offences, 18 , 0.3 
2017,December,F Other offences,F90 Miscellaneous offences,F93 Cruelty to animals, 121 , 1.9 
2017,December,F Other offences,F90 Miscellaneous offences,F94 Dangerous substance offences, 13 , 0.2 
2017,December,F Other offences,F90 Miscellaneous offences,F99 Other miscellaneous offences, 24 , 0.4 
2016,December,A Crimes against the person,A10 Homicide and related offences,A11 Murder, 64 , 1.0 
2016,December,A Crimes against the person,A10 Homicide and related offences,A12 Attempted murder, 45 , 0.7 
2016,December,A Crimes against the person,A10 Homicide and related offences,A14 Manslaughter & A13  Accessory/ conspiracy to murder, 7 , 0.1 
2016,December,A Crimes against the person,A10 Homicide and related offences,A15 Driving causing death, 62 , 1.0 
2016,December,A Crimes against the person,A20 Assault and related offences,A211 FV Serious assault," 8,659 ", 140.3 
2016,December,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault," 8,845 ", 143.3 
2016,December,A Crimes against the person,A20 Assault and related offences,"A22 Assault police, emergency services or other authorised officer"," 1,984 ", 32.1 
2016,December,A Crimes against the person,A20 Assault and related offences,A231 FV Common assault," 11,536 ", 186.9 
2016,December,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault," 7,656 ", 124.0 
2016,December,A Crimes against the person,A30 Sexual offences,A31 Rape," 2,793 ", 45.2 
2016,December,A Crimes against the person,A30 Sexual offences,A32 Indecent assault," 3,320 ", 53.8 
2016,December,A Crimes against the person,A30 Sexual offences,A33 Incest, 225 , 3.6 
2016,December,A Crimes against the person,A30 Sexual offences,A34 Sexual offences against children, 561 , 9.1 
2016,December,A Crimes against the person,A30 Sexual offences,A39 Other sexual offences, 236 , 3.8 
2016,December,A Crimes against the person,A40 Abduction and related offences,A41 Abduction, 121 , 2.0 
2016,December,A Crimes against the person,A40 Abduction and related offences,A42 False imprisonment, 341 , 5.5 
2016,December,A Crimes against the person,A40 Abduction and related offences,A43 Slavery and sexual servitude offences, 1 , 0.0 
2016,December,A Crimes against the person,A50 Robbery,A51 Aggravated robbery," 2,175 ", 35.2 
2016,December,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery, 243 , 3.9 
2016,December,A Crimes against the person,A60 Blackmail and extortion,A61 Blackmail, 104 , 1.7 
2016,December,A Crimes against the person,A60 Blackmail and extortion,A62 Extortion, 34 , 0.6 
2016,December,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A711 FV Stalking," 1,160 ", 18.8 
2016,December,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking, 844 , 13.7 
2016,December,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A721 FV Harassment and private nuisance, 463 , 7.5 
2016,December,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance, 454 , 7.4 
2016,December,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A731 FV Threatening behaviour," 2,113 ", 34.2 
2016,December,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour," 1,746 ", 28.3 
2016,December,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving, 755 , 12.2 
2016,December,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A82 Neglect or ill treatment of people, 47 , 0.8 
2016,December,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people, 804 , 13.0 
2016,December,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people," 2,527 ", 40.9 
2016,December,B Property and deception offences,B10 Arson,B11 Cause damage by fire," 3,147 ", 51.0 
2016,December,B Property and deception offences,B10 Arson,B12 Cause a bushfire, 79 , 1.3 
2016,December,B Property and deception offences,B10 Arson,B19 Other fire related offences, 508 , 8.2 
2016,December,B Property and deception offences,B20 Property damage,B21 Criminal damage," 34,667 ", 561.6 
2016,December,B Property and deception offences,B20 Property damage,B22 Graffiti," 2,876 ", 46.6 
2016,December,B Property and deception offences,B20 Property damage,B29 Other property damage offences, 284 , 4.6 
2016,December,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary," 3,469 ", 56.2 
2016,December,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary, 140 , 2.3 
2016,December,B Property and deception offences,B30 Burglary/Break and enter,B319 Unknown aggravated burglary, 9 , 0.1 
2016,December,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary," 31,797 ", 515.1 
2016,December,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary," 16,468 ", 266.8 
2016,December,B Property and deception offences,B30 Burglary/Break and enter,B329 Unknown non-aggravated burglary, 118 , 1.9 
2016,December,B Property and deception offences,B40 Theft,B41 Motor vehicle theft," 18,945 ", 306.9 
2016,December,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle," 63,947 "," 1,035.9 "
2016,December,B Property and deception offences,B40 Theft,B43 Steal from a retail store," 18,822 ", 304.9 
2016,December,B Property and deception offences,B40 Theft,B44 Theft of a bicycle," 6,426 ", 104.1 
2016,December,B Property and deception offences,B40 Theft,B45 Receiving or handling stolen goods," 7,412 ", 120.1 
2016,December,B Property and deception offences,B40 Theft,B46 Fare evasion, 81 , 1.3 
2016,December,B Property and deception offences,B40 Theft,B49 Other theft," 41,276 ", 668.6 
2016,December,B Property and deception offences,B50 Deception,B51 Forgery and counterfeiting," 2,153 ", 34.9 
2016,December,B Property and deception offences,B50 Deception,B52 Possess equipment to make false instrument, 9 , 0.1 
2016,December,B Property and deception offences,B50 Deception,B53 Obtain benefit by deception," 17,960 ", 290.9 
2016,December,B Property and deception offences,B50 Deception,B54 State false information, 857 , 13.9 
2016,December,B Property and deception offences,B50 Deception,B55 Deceptive business practices, 5 , 0.1 
2016,December,B Property and deception offences,B50 Deception,B56 Professional malpractice and misrepresentation, 45 , 0.7 
2016,December,B Property and deception offences,B50 Deception,B59 Other deception offences, 64 , 1.0 
2016,December,B Property and deception offences,B60 Bribery,B61 Bribery of officials, 4 , 0.1 
2016,December,C Drug offences,C10 Drug dealing and trafficking,C11 Drug dealing, 20 , 0.3 
2016,December,C Drug offences,C10 Drug dealing and trafficking,C12 Drug trafficking," 3,109 ", 50.4 
2016,December,C Drug offences,C20 Cultivate or manufacture drugs,C21 Cultivate drugs, 732 , 11.9 
2016,December,C Drug offences,C20 Cultivate or manufacture drugs,C22 Manufacture drugs, 1 , 0.0 
2016,December,C Drug offences,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor, 366 , 5.9 
2016,December,C Drug offences,C30 Drug use and possession,C31 Drug use, 703 , 11.4 
2016,December,C Drug offences,C30 Drug use and possession,C32 Drug possession," 10,775 ", 174.5 
2016,December,C Drug offences,C90 Other drug offences,C99 Other drug offences, 31 , 0.5 
2016,December,D Public order and security offences,D10 Weapons and explosives offences,D11 Firearms offences," 2,060 ", 33.4 
2016,December,D Public order and security offences,D10 Weapons and explosives offences,D12 Prohibited and controlled weapons offences," 7,014 ", 113.6 
2016,December,D Public order and security offences,D10 Weapons and explosives offences,D13 Explosives offences, 255 , 4.1 
2016,December,D Public order and security offences,D20 Disorderly and offensive conduct,D21 Riot and affray, 292 , 4.7 
2016,December,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public," 8,301 ", 134.5 
2016,December,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct," 2,992 ", 48.5 
2016,December,D Public order and security offences,D20 Disorderly and offensive conduct,D24 Offensive language, 702 , 11.4 
2016,December,D Public order and security offences,D20 Disorderly and offensive conduct,D25 Criminal intent, 517 , 8.4 
2016,December,D Public order and security offences,D20 Disorderly and offensive conduct,D26 Disorderly conduct, 249 , 4.0 
2016,December,D Public order and security offences,D30 Public nuisance offences,D31 Privacy offences, 46 , 0.7 
2016,December,D Public order and security offences,D30 Public nuisance offences,D32 Hoaxes, 248 , 4.0 
2016,December,D Public order and security offences,D30 Public nuisance offences,D33 Begging, 78 , 1.3 
2016,December,D Public order and security offences,D30 Public nuisance offences,D34 Defamation and libel, 1 , 0.0 
2016,December,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space," 1,497 ", 24.3 
2016,December,D Public order and security offences,D30 Public nuisance offences,D36 Other public nuisance offences, 95 , 1.5 
2016,December,D Public order and security offences,D40 Public security offences,D43 Hacking, 28 , 0.5 
2016,December,D Public order and security offences,D40 Public security offences,D49 Other public security offences, 2 , 0.0 
2016,December,E Justice procedures offences,E10 Justice procedures,E11 Escape custody, 117 , 1.9 
2016,December,E Justice procedures offences,E10 Justice procedures,E12 Fail to appear, 1 , 0.0 
2016,December,E Justice procedures offences,E10 Justice procedures,E13 Resist or hinder officer," 6,807 ", 110.3 
2016,December,E Justice procedures offences,E10 Justice procedures,E14 Pervert the course of justice or commit perjury, 519 , 8.4 
2016,December,E Justice procedures offences,E10 Justice procedures,E15 Prison regulation offences, 546 , 8.8 
2016,December,E Justice procedures offences,E10 Justice procedures,E19 Other justice procedures offences," 1,016 ", 16.5 
2016,December,E Justice procedures offences,E20 Breaches of orders,E21 Breach family violence order," 17,474 ", 283.1 
2016,December,E Justice procedures offences,E20 Breaches of orders,E22 Breach intervention order," 1,818 ", 29.5 
2016,December,E Justice procedures offences,E20 Breaches of orders,E23 Breach bail conditions," 18,541 ", 300.3 
2016,December,E Justice procedures offences,E20 Breaches of orders,E29 Breach of other orders, 924 , 15.0 
2016,December,F Other offences,F10 Regulatory driving offences,F11 Drink driving, 2 , 0.0 
2016,December,F Other offences,F10 Regulatory driving offences,F12 Drug driving, 1 , 0.0 
2016,December,F Other offences,F10 Regulatory driving offences,F15 Licensing offences, 3 , 0.0 
2016,December,F Other offences,F10 Regulatory driving offences,F19 Other regulatory driving offences, 3 , 0.0 
2016,December,F Other offences,F20 Transport regulation offences,F21 Public transport, 210 , 3.4 
2016,December,F Other offences,F20 Transport regulation offences,F22 Aviation regulations offences, 1 , 0.0 
2016,December,F Other offences,F20 Transport regulation offences,F23 Maritime regulations offences, 52 , 0.8 
2016,December,F Other offences,F20 Transport regulation offences,F24 Pedestrian offences, 18 , 0.3 
2016,December,F Other offences,F20 Transport regulation offences,F29 Other transport regulation offences, 83 , 1.3 
2016,December,F Other offences,F30 Other government regulatory offences,F31 Betting and gaming offences, 10 , 0.2 
2016,December,F Other offences,F30 Other government regulatory offences,F32 Commercial regulation offences, 52 , 0.8 
2016,December,F Other offences,F30 Other government regulatory offences,F33 Liquor and tobacco licensing offences, 77 , 1.2 
2016,December,F Other offences,F30 Other government regulatory offences,F34 Pornography and censorship offences, 28 , 0.5 
2016,December,F Other offences,F30 Other government regulatory offences,F35 Intellectual property, 5 , 0.1 
2016,December,F Other offences,F30 Other government regulatory offences,F36 Prostitution offences, 24 , 0.4 
2016,December,F Other offences,F30 Other government regulatory offences,F39 Other government regulatory offences, 56 , 0.9 
2016,December,F Other offences,F90 Miscellaneous offences,F91 Environmental offences, 20 , 0.3 
2016,December,F Other offences,F90 Miscellaneous offences,F92 Public health and safety offences, 23 , 0.4 
2016,December,F Other offences,F90 Miscellaneous offences,F93 Cruelty to animals, 116 , 1.9 
2016,December,F Other offences,F90 Miscellaneous offences,F94 Dangerous substance offences, 8 , 0.1 
2016,December,F Other offences,F90 Miscellaneous offences,F99 Other miscellaneous offences, 31 , 0.5 
2015,December,A Crimes against the person,A10 Homicide and related offences,A11 Murder, 52 , 0.9 
2015,December,A Crimes against the person,A10 Homicide and related offences,A12 Attempted murder, 38 , 0.6 
2015,December,A Crimes against the person,A10 Homicide and related offences,A14 Manslaughter & A13  Accessory/ conspiracy to murder, 12 , 0.2 
2015,December,A Crimes against the person,A10 Homicide and related offences,A15 Driving causing death, 62 , 1.0 
2015,December,A Crimes against the person,A20 Assault and related offences,A211 FV Serious assault," 7,914 ", 131.4 
2015,December,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault," 8,384 ", 139.2 
2015,December,A Crimes against the person,A20 Assault and related offences,"A22 Assault police, emergency services or other authorised officer"," 1,754 ", 29.1 
2015,December,A Crimes against the person,A20 Assault and related offences,A231 FV Common assault," 9,426 ", 156.5 
2015,December,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault," 6,689 ", 111.1 
2015,December,A Crimes against the person,A30 Sexual offences,A31 Rape," 2,374 ", 39.4 
2015,December,A Crimes against the person,A30 Sexual offences,A32 Indecent assault," 2,786 ", 46.3 
2015,December,A Crimes against the person,A30 Sexual offences,A33 Incest, 186 , 3.1 
2015,December,A Crimes against the person,A30 Sexual offences,A34 Sexual offences against children, 574 , 9.5 
2015,December,A Crimes against the person,A30 Sexual offences,A39 Other sexual offences, 141 , 2.3 
2015,December,A Crimes against the person,A40 Abduction and related offences,A41 Abduction, 100 , 1.7 
2015,December,A Crimes against the person,A40 Abduction and related offences,A42 False imprisonment, 276 , 4.6 
2015,December,A Crimes against the person,A50 Robbery,A51 Aggravated robbery," 1,755 ", 29.1 
2015,December,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery, 173 , 2.9 
2015,December,A Crimes against the person,A60 Blackmail and extortion,A61 Blackmail, 92 , 1.5 
2015,December,A Crimes against the person,A60 Blackmail and extortion,A62 Extortion, 37 , 0.6 
2015,December,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A711 FV Stalking, 947 , 15.7 
2015,December,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking, 831 , 13.8 
2015,December,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A721 FV Harassment and private nuisance, 350 , 5.8 
2015,December,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance, 426 , 7.1 
2015,December,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A731 FV Threatening behaviour," 1,863 ", 30.9 
2015,December,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour," 1,596 ", 26.5 
2015,December,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving, 531 , 8.8 
2015,December,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A82 Neglect or ill treatment of people, 51 , 0.8 
2015,December,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people, 705 , 11.7 
2015,December,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people," 1,974 ", 32.8 
2015,December,B Property and deception offences,B10 Arson,B11 Cause damage by fire," 2,783 ", 46.2 
2015,December,B Property and deception offences,B10 Arson,B12 Cause a bushfire, 91 , 1.5 
2015,December,B Property and deception offences,B10 Arson,B19 Other fire related offences, 498 , 8.3 
2015,December,B Property and deception offences,B20 Property damage,B21 Criminal damage," 32,943 ", 547.0 
2015,December,B Property and deception offences,B20 Property damage,B22 Graffiti," 2,883 ", 47.9 
2015,December,B Property and deception offences,B20 Property damage,B29 Other property damage offences, 244 , 4.1 
2015,December,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary," 2,469 ", 41.0 
2015,December,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary, 80 , 1.3 
2015,December,B Property and deception offences,B30 Burglary/Break and enter,B319 Unknown aggravated burglary, 14 , 0.2 
2015,December,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary," 29,573 ", 491.1 
2015,December,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary," 15,263 ", 253.4 
2015,December,B Property and deception offences,B30 Burglary/Break and enter,B329 Unknown non-aggravated burglary, 214 , 3.6 
2015,December,B Property and deception offences,B40 Theft,B41 Motor vehicle theft," 15,690 ", 260.5 
2015,December,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle," 51,596 ", 856.7 
2015,December,B Property and deception offences,B40 Theft,B43 Steal from a retail store," 18,165 ", 301.6 
2015,December,B Property and deception offences,B40 Theft,B44 Theft of a bicycle," 6,005 ", 99.7 
2015,December,B Property and deception offences,B40 Theft,B45 Receiving or handling stolen goods," 5,588 ", 92.8 
2015,December,B Property and deception offences,B40 Theft,B46 Fare evasion, 58 , 1.0 
2015,December,B Property and deception offences,B40 Theft,B49 Other theft," 38,854 ", 645.2 
2015,December,B Property and deception offences,B50 Deception,B51 Forgery and counterfeiting," 2,296 ", 38.1 
2015,December,B Property and deception offences,B50 Deception,B52 Possess equipment to make false instrument, 7 , 0.1 
2015,December,B Property and deception offences,B50 Deception,B53 Obtain benefit by deception," 14,123 ", 234.5 
2015,December,B Property and deception offences,B50 Deception,B54 State false information, 764 , 12.7 
2015,December,B Property and deception offences,B50 Deception,B55 Deceptive business practices, 7 , 0.1 
2015,December,B Property and deception offences,B50 Deception,B56 Professional malpractice and misrepresentation, 93 , 1.5 
2015,December,B Property and deception offences,B50 Deception,B59 Other deception offences, 45 , 0.7 
2015,December,B Property and deception offences,B60 Bribery,B61 Bribery of officials, 10 , 0.2 
2015,December,C Drug offences,C10 Drug dealing and trafficking,C11 Drug dealing, 16 , 0.3 
2015,December,C Drug offences,C10 Drug dealing and trafficking,C12 Drug trafficking," 3,185 ", 52.9 
2015,December,C Drug offences,C20 Cultivate or manufacture drugs,C21 Cultivate drugs, 909 , 15.1 
2015,December,C Drug offences,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor, 311 , 5.2 
2015,December,C Drug offences,C30 Drug use and possession,C31 Drug use, 694 , 11.5 
2015,December,C Drug offences,C30 Drug use and possession,C32 Drug possession," 10,306 ", 171.1 
2015,December,C Drug offences,C90 Other drug offences,C99 Other drug offences, 18 , 0.3 
2015,December,D Public order and security offences,D10 Weapons and explosives offences,D11 Firearms offences," 1,962 ", 32.6 
2015,December,D Public order and security offences,D10 Weapons and explosives offences,D12 Prohibited and controlled weapons offences," 6,510 ", 108.1 
2015,December,D Public order and security offences,D10 Weapons and explosives offences,D13 Explosives offences, 218 , 3.6 
2015,December,D Public order and security offences,D20 Disorderly and offensive conduct,D21 Riot and affray, 285 , 4.7 
2015,December,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public," 9,261 ", 153.8 
2015,December,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct," 3,539 ", 58.8 
2015,December,D Public order and security offences,D20 Disorderly and offensive conduct,D24 Offensive language, 814 , 13.5 
2015,December,D Public order and security offences,D20 Disorderly and offensive conduct,D25 Criminal intent, 484 , 8.0 
2015,December,D Public order and security offences,D20 Disorderly and offensive conduct,D26 Disorderly conduct, 251 , 4.2 
2015,December,D Public order and security offences,D30 Public nuisance offences,D31 Privacy offences, 31 , 0.5 
2015,December,D Public order and security offences,D30 Public nuisance offences,D32 Hoaxes, 125 , 2.1 
2015,December,D Public order and security offences,D30 Public nuisance offences,D33 Begging, 51 , 0.8 
2015,December,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space," 1,240 ", 20.6 
2015,December,D Public order and security offences,D30 Public nuisance offences,D36 Other public nuisance offences, 83 , 1.4 
2015,December,D Public order and security offences,D40 Public security offences,D41 Immigration offences, 1 , 0.0 
2015,December,D Public order and security offences,D40 Public security offences,D43 Hacking, 23 , 0.4 
2015,December,D Public order and security offences,D40 Public security offences,D44 Terrorism offences, 1 , 0.0 
2015,December,D Public order and security offences,D40 Public security offences,D49 Other public security offences, 1 , 0.0 
2015,December,E Justice procedures offences,E10 Justice procedures,E11 Escape custody, 86 , 1.4 
2015,December,E Justice procedures offences,E10 Justice procedures,E13 Resist or hinder officer," 2,828 ", 47.0 
2015,December,E Justice procedures offences,E10 Justice procedures,E14 Pervert the course of justice or commit perjury, 539 , 9.0 
2015,December,E Justice procedures offences,E10 Justice procedures,E15 Prison regulation offences, 493 , 8.2 
2015,December,E Justice procedures offences,E10 Justice procedures,E19 Other justice procedures offences, 799 , 13.3 
2015,December,E Justice procedures offences,E20 Breaches of orders,E21 Breach family violence order," 11,777 ", 195.6 
2015,December,E Justice procedures offences,E20 Breaches of orders,E22 Breach intervention order," 1,496 ", 24.8 
2015,December,E Justice procedures offences,E20 Breaches of orders,E23 Breach bail conditions," 17,155 ", 284.9 
2015,December,E Justice procedures offences,E20 Breaches of orders,E29 Breach of other orders, 843 , 14.0 
2015,December,F Other offences,F10 Regulatory driving offences,F11 Drink driving, 5 , 0.1 
2015,December,F Other offences,F10 Regulatory driving offences,F12 Drug driving, 2 , 0.0 
2015,December,F Other offences,F10 Regulatory driving offences,F14 Parking offences, 1 , 0.0 
2015,December,F Other offences,F10 Regulatory driving offences,F15 Licensing offences, 5 , 0.1 
2015,December,F Other offences,F10 Regulatory driving offences,F16 Registration and roadworthiness offences, 1 , 0.0 
2015,December,F Other offences,F10 Regulatory driving offences,F19 Other regulatory driving offences, 2 , 0.0 
2015,December,F Other offences,F20 Transport regulation offences,F21 Public transport, 100 , 1.7 
2015,December,F Other offences,F20 Transport regulation offences,F22 Aviation regulations offences, 2 , 0.0 
2015,December,F Other offences,F20 Transport regulation offences,F23 Maritime regulations offences, 43 , 0.7 
2015,December,F Other offences,F20 Transport regulation offences,F24 Pedestrian offences, 16 , 0.3 
2015,December,F Other offences,F20 Transport regulation offences,F29 Other transport regulation offences, 84 , 1.4 
2015,December,F Other offences,F30 Other government regulatory offences,F31 Betting and gaming offences, 7 , 0.1 
2015,December,F Other offences,F30 Other government regulatory offences,F32 Commercial regulation offences, 90 , 1.5 
2015,December,F Other offences,F30 Other government regulatory offences,F33 Liquor and tobacco licensing offences, 87 , 1.4 
2015,December,F Other offences,F30 Other government regulatory offences,F34 Pornography and censorship offences, 26 , 0.4 
2015,December,F Other offences,F30 Other government regulatory offences,F35 Intellectual property, 2 , 0.0 
2015,December,F Other offences,F30 Other government regulatory offences,F36 Prostitution offences, 41 , 0.7 
2015,December,F Other offences,F30 Other government regulatory offences,F39 Other government regulatory offences, 51 , 0.8 
2015,December,F Other offences,F90 Miscellaneous offences,F91 Environmental offences, 21 , 0.3 
2015,December,F Other offences,F90 Miscellaneous offences,F92 Public health and safety offences, 49 , 0.8 
2015,December,F Other offences,F90 Miscellaneous offences,F93 Cruelty to animals, 161 , 2.7 
2015,December,F Other offences,F90 Miscellaneous offences,F94 Dangerous substance offences, 15 , 0.2 
2015,December,F Other offences,F90 Miscellaneous offences,F99 Other miscellaneous offences, 14 , 0.2 
2014,December,A Crimes against the person,A10 Homicide and related offences,A11 Murder, 55 , 0.9 
2014,December,A Crimes against the person,A10 Homicide and related offences,A12 Attempted murder, 28 , 0.5 
2014,December,A Crimes against the person,A10 Homicide and related offences,A14 Manslaughter & A13  Accessory/ conspiracy to murder, 17 , 0.3 
2014,December,A Crimes against the person,A10 Homicide and related offences,A15 Driving causing death, 53 , 0.9 
2014,December,A Crimes against the person,A20 Assault and related offences,A211 FV Serious assault," 7,914 ", 134.3 
2014,December,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault," 8,682 ", 147.3 
2014,December,A Crimes against the person,A20 Assault and related offences,"A22 Assault police, emergency services or other authorised officer"," 1,793 ", 30.4 
2014,December,A Crimes against the person,A20 Assault and related offences,A231 FV Common assault," 8,471 ", 143.7 
2014,December,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault," 6,274 ", 106.4 
2014,December,A Crimes against the person,A30 Sexual offences,A31 Rape," 2,292 ", 38.9 
